Month,Schoener_D
Jun,0.5828449221565721
Jul,0.6237195054445644
Aug,0.7547285403828606
Sep,0.5508475217698701
Oct,0.5246693859382858
Nov,0.48947807414235944
Dec,0.6979916665977766
