"Group_ID","Prey","PercentNumber","PercentOccurrence","PercentVolWeight","%IRI"
"Onki","Actinopterygii",11.4285714285714,1.01213793459995,3.76136156450645,0.18128071789704
"Onki","Amphipoda: Americorophium sp.",89.5238095238095,37.9614233778037,18.914516622259,48.5379405294527
"Onki","Amphipoda: Eogammarus sp.",80.9523809523809,18.2065536928546,27.3996515860827,23.2605971968348
"Onki","Amphipoda: Megalorchestia",3.80952380952381,0.0205592564175083,0.334900162455538,0.00100467971135161
"Onki","Amphipoda: undetermined",4.76190476190476,0.182745385565002,0.0699189269752712,0.0104115059148594
"Onki","Decapoda: Emerita sp.",12.3809523809524,0.54213949721355,2.49546081404441,0.0950966751568122
"Onki","Decapoda: Megalopa",0.952380952380952,0.00167968421936676,0.000172745666732718,1.88657103088095e-05
"Onki","Diptera",14.2857142857143,0.447712609669809,0.052128054346777,0.0756901173880662
"Onki","Diptera: Chironomidae",38.0952380952381,8.52068612005964,4.65601864935779,4.29516157098192
"Onki","Hemiptera: Corixidae",14.2857142857143,0.554401942417299,0.984491234192387,0.0998218644734738
"Onki","Isopoda: Cirolanidae",6.66666666666667,0.300552616038608,1.34775156731501,0.0284019767012011
"Onki","Isopoda: Gnorimosphaeroma sp.",61.9047619047619,11.6404586371515,19.7968811087584,11.2139065893579
"Onki","Isopoda: undetermined",0.952380952380952,0.00152137532329226,0.00292549628964114,1.71370131134395e-05
"Onki","Mysidae: Neomysis mercedis",44.7619047619048,8.79620477584155,8.57337864422272,5.53179388957353
"Onki","Other aquatics (non-insecta)",13.3333333333333,1.51489952021354,0.320052571238195,0.243882279413561
"Onki","Other insects",11.4285714285714,1.11400357694999,0.309249021128841,0.154180730566519
"Onki","Other terrestrials (Arachnida)",7.61904761904762,0.407314052316387,0.264403974201915,0.0378618517532331
"Onki","Terrestrial insects",49.5238095238095,8.77500594534467,10.7167372569582,6.23293182209962
"Onmy","Actinopterygii",7.04845814977974,0.441637155282123,1.27542736213203,0.0389156459935821
"Onmy","Amphipoda: Americorophium sp.",81.9383259911894,22.4449897710687,11.8246877299165,22.2783750969205
"Onmy","Amphipoda: Eogammarus sp.",84.1409691629956,26.6161149534568,30.6208528816882,32.3351321662339
"Onmy","Amphipoda: Megalorchestia",14.0969162995595,2.99737683286322,4.80916776014808,0.599895318559948
"Onmy","Amphipoda: undetermined",5.72687224669604,0.616162319027042,0.109711839134686,0.0380703109905513
"Onmy","Decapoda: Emerita sp.",8.81057268722467,0.162432771743397,1.44504521128956,0.0176346980890739
"Onmy","Diptera",8.81057268722467,0.15232546213122,0.111343881005331,0.0143867668028014
"Onmy","Diptera: Chironomidae",33.0396475770925,3.93520608121607,1.96361889497314,1.45817147058587
"Onmy","Hemiptera: Corixidae",12.7753303964758,0.512470067227279,0.479863965967258,0.0719096452246222
"Onmy","Isopoda: Cirolanidae",7.48898678414097,0.317444484864247,0.748754806522344,0.0276827029639626
"Onmy","Isopoda: Gnorimosphaeroma sp.",87.2246696035242,29.6547155056475,33.7552408268341,37.9786534559077
"Onmy","Mysidae: Neomysis mercedis",38.3259911894273,8.95804690452199,7.67843754598503,4.36260121833657
"Onmy","Other aquatics (non-insecta)",26.8722466960352,2.00388461176641,2.9404311065916,0.632420936297605
"Onmy","Other insects",11.4537444933921,0.642324607820914,1.22864870433759,0.0862359428687498
"Onmy","Other terrestrials (Arachnida)",1.76211453744493,0.100237745612195,0.168575998423395,0.00204869119255293
"Onmy","Terrestrial insects",11.4537444933921,0.444630725750929,0.840191485051241,0.0578659330319829
