"","Onki","Onmy"
"1",33.696154105322,37.0630172678031
"2",34.4708979627385,39.7479918877431
"3",33.1946013240369,38.355450719694
"4",31.721254726873,39.5314245172894
"5",37.4863712485112,37.0321757935421
"6",36.1702949921145,37.1201649305352
"7",36.1816862826502,37.8141456973253
"8",34.6475194764293,37.6201062509694
"9",29.9305113893429,33.5737369008185
"10",33.9779516197365,35.8310671158313
"11",32.8685055581903,40.8097668998189
"12",36.0591791206244,38.6574204332544
"13",36.6155159652234,34.1041013709981
"14",42.9474040979683,40.0561266959998
"15",40.648958178064,41.9993542874089
"16",37.353101425266,41.4268667426796
"17",34.7792571924904,37.4968348678236
"18",33.3578699979568,38.0131693875568
"19",37.8687069511027,35.2070625305741
"20",30.0634552695335,36.1644917094626
"21",31.9298121207733,37.8717934028834
"22",32.4568467576337,39.2088452235321
"23",42.7112440922595,38.6340096301157
"24",37.3502915880612,34.7426068353453
"25",34.7645237846151,35.7933898502104
"26",31.3851008293659,39.1559904561296
"27",32.8586416711597,36.549039439363
"28",38.3817257270463,38.666664002967
"29",31.9422255546631,36.4810048837733
"30",35.1060795217325,37.0563926613935
"31",34.848753058906,40.5103245353147
"32",30.729830392278,36.1354243168209
"33",38.8633154031394,38.325041530701
"34",30.4213261717601,35.2314514382972
"35",28.0193219812035,37.5874185980378
"36",35.1928833171752,38.2745425577615
"37",35.4759744236468,36.4773746133946
"38",31.7972947362173,37.6257100625817
"39",34.5616472259923,36.5098530582049
"40",32.4194822255597,37.894025711003
"41",33.6544978062199,37.7577965014057
"42",32.3356913257773,36.3203777049735
"43",33.4556698969017,44.8540000286317
"44",33.4017572505873,37.2163436199263
"45",31.5925836186612,40.4870943989366
"46",38.9530267669386,34.1773465482232
"47",37.8185246966085,38.5462823799599
"48",35.0830393638073,36.0960579014351
"49",34.4128555182946,38.5690186155339
"50",36.9294339947773,38.3479315786194
"51",38.4350292169037,37.8792971369868
"52",33.3567943430252,36.0211458927465
"53",34.121419270623,37.6164919303168
"54",32.2789839364959,37.6495510833348
"55",31.8048288407699,37.1094397083588
"56",32.7480641918643,36.6765162813792
"57",32.7337650055333,39.7846584961825
"58",31.1133549000749,36.4732794324261
"59",30.4026580724203,38.2234777825296
"60",32.0322331940934,36.1284944593091
"61",32.4423715749495,41.7095714865868
"62",30.4513442379697,36.8106282296781
"63",37.5608068040353,39.8194123033274
