"","Onki.Onki.95.","Onmy.Onki.95.","Onki.Onmy.95.","Onmy.Onmy.95.","Onki.Onki.99.","Onmy.Onki.99.","Onki.Onmy.99.","Onmy.Onmy.99."
"2.5%",NA,10.588,25.48,NA,NA,18.13825,49.64425,NA
"97.5%",NA,75.26475,95.71125,NA,NA,89.26475,99.65,NA
