"","Onki.Onki.95.","Onmy.Onki.95.","Onki.Onmy.95.","Onmy.Onmy.95.","Onki.Onki.99.","Onmy.Onki.99.","Onki.Onmy.99.","Onmy.Onmy.99."
"2.5%",NA,55.3295,73.84925,NA,NA,68.5645,86.77925,NA
"97.5%",NA,72.88425,87.0535,NA,NA,84.92075,95.66025,NA
