"Month","Mean","Median","Mode"
"Jun",0.642974518380833,0.644792653331528,0.665116943282749
"Jul",0.433389339430228,0.432260262905341,0.427419472361423
"Aug",0.300960942607309,0.285143653503982,0.267571738021909
"Sep",0.0923307706298025,0.0787484655138379,0.0613739666790972
"Oct",0.128556273988652,0.11815070065599,0.0924204542484656
"Nov",0.275382858578112,0.263502008193424,0.232715746746211
"Dec",0.210224403365094,0.2030020065917,0.222966471717281
"Overall",0.441324179111026,0.441326276480155,0.444553283238304
