"","Overall.Onki.1","Overall.Onki.2","Overall.Onmy.1","Overall.Onmy.2"
"99%",4.47723609667464,7.26210911527921,5.535611751477,7.17675947031344
"95%",4.72592222715546,6.88047460164915,5.69064783321495,6.93580396038669
"50%",5.3689703723469,6.10997860452712,6.07659783703502,6.50701491011732
