"","Onki","Onmy"
"1",2.33629008143485,8.64075476126361
"2",5.78785505032172,6.01167388377935
"3",4.93891245132973,8.0250638821112
"4",4.34678825703289,10.4744124061809
"5",5.3917488769177,10.1434235158984
"6",4.14525427261493,6.98813163084075
"7",2.99866115511984,8.94253193937105
"8",18.6147611151534,8.57224394907145
"9",3.68725103100336,7.85588918876489
"10",6.76356878644421,8.74620034134535
"11",6.85772508634438,10.7443294219798
"12",4.30347446155754,6.98367363895114
"13",4.46330896229297,8.64968809098462
"14",4.72328316706618,9.08745140190074
"15",7.84933631255859,6.34000102459907
"16",3.80314954852838,8.58626539861788
"17",6.08475899979246,8.76380819303086
"18",4.85622363447622,8.06250131128365
"19",2.21815017801736,8.49670550591123
"20",5.700724816965,9.40504376117135
"21",5.49168214336695,9.19453538700602
"22",4.37360593217394,8.1529256572444
"23",3.6088456418226,9.14680445970332
"24",6.55162480276399,8.64160587948136
"25",3.91327434808041,7.02272281096856
"26",4.94233787565617,7.10314965443653
"27",7.86068732067492,8.17489917436808
"28",4.67874792247217,8.37816450444143
"29",5.79985119938888,8.90218788529323
"30",5.99991401193296,7.64949521178132
"31",4.00119999463277,7.75363823565929
"32",2.54488675953925,8.02472768771198
"33",5.06544109525472,7.68932845360465
"34",4.93352500502712,5.99698348807698
"35",4.32729993193728,8.17880188722182
"36",3.63531100490414,9.48129104872148
"37",4.12530747645107,7.46410455803437
"38",2.45352418982925,8.47569360181832
"39",4.09131134319533,8.37155947899709
"40",5.48666092918243,7.83615988483539
"41",5.15779446071618,7.36084453473717
"42",5.35208598615307,7.18922604242297
"43",4.88907857335514,7.23163756773959
"44",6.97849857768723,7.96453670551331
"45",3.43478921777452,7.73306728506722
"46",4.96370717604513,6.26973260356509
"47",6.91012625788276,8.93661359428948
"48",11.1750984274686,9.34301444918323
"49",2.94883676576569,8.22360546047886
"50",2.17250597380142,7.7417700538312
"51",5.32805590794039,7.48488681614004
"52",5.76318439690082,7.88979336481604
"53",2.58873388314552,7.87586791309623
"54",5.29049530571528,8.22641879544661
"55",7.56148971570084,8.54765777458445
"56",3.20849379437563,10.3894199527427
"57",4.78417670196525,7.98032748317122
"58",6.8381067023289,9.4542627180082
"59",3.12443452122703,10.4340547838416
