"","Onki.Onki.95.","Onmy.Onki.95.","Onki.Onmy.95.","Onmy.Onmy.95.","Onki.Onki.99.","Onmy.Onki.99.","Onki.Onmy.99.","Onmy.Onmy.99."
"2.5%",NA,5.91975,23.93975,NA,NA,9.479,47.3705,NA
"97.5%",NA,34.63,86.64225,NA,NA,47.83225,97.301,NA
