"","Onki.Onki.95.","Onmy.Onki.95.","Onki.Onmy.95.","Onmy.Onmy.95.","Onki.Onki.99.","Onmy.Onki.99.","Onki.Onmy.99.","Onmy.Onmy.99."
"2.5%",NA,12.769,22.974,NA,NA,23.44225,46.0535,NA
"97.5%",NA,68.412,76.50025,NA,NA,87.143,93.821,NA
