"","Onki","Onmy"
"1",32.1100344778991,35.3370452191013
"2",32.3836653260576,36.8741852199455
"3",32.3020315030207,41.5219775511966
"4",26.6245403153499,39.814412043168
"5",36.4123768109331,37.0003861377034
"6",42.4740130027509,37.2633730030402
"7",34.3398296566173,38.3970907745901
"8",31.4817170217357,35.6046231183103
"9",41.9715949997377,37.4811891555652
"10",33.094224058662,41.9050441454612
"11",33.4909681252176,40.1816863252884
"12",29.1914640983442,38.0696959477725
"13",43.4888014455352,38.7686803770708
"14",34.4714613717287,39.9264782059022
"15",33.7580897752719,37.5055123661057
"16",36.7883958619593,37.5290150924331
"17",33.9002880585345,34.3262058677696
"18",33.7355058026839,35.5069677507806
"19",30.0298203325674,37.5576340802838
"20",31.2936881345284,40.6869033945182
"21",31.8392521485813,40.2111604944169
"22",34.0089531897383,38.8851830394294
"23",36.8715485043811,39.6597965979483
"24",32.3460613319017,38.9195324261051
"25",36.9083239997683,35.1432229878926
"26",34.0999208411084,38.5485799542803
"27",40.1224349829845,37.0771494437479
"28",36.3981729194783,35.5217964094366
"29",39.2845279328194,34.5944664933974
"30",34.21855845407,38.8935956069776
"31",36.2366629178923,33.0740700137446
"32",38.2244153092828,39.6843206961481
"33",43.7442155503619,37.820264139101
"34",39.9539926879375,38.0056874556532
"35",30.0833678346526,35.8187333159088
"36",32.5517728443781,37.1571619335317
"37",39.2416529220501,38.0944056816483
"38",35.4853889403625,38.2974172378797
"39",40.9828689943702,36.1170775650759
"40",35.1297744021567,36.9347192285683
"41",40.8264405683842,38.2697009451531
"42",33.2712944234681,36.3211418920264
"43",32.5318787987077,34.5934274666387
"44",33.8628983243987,35.929988263867
"45",40.4196306080085,37.8093417825226
"46",29.0430829482561,38.9936849063637
"47",33.0923193145976,39.8082373840931
"48",41.3528246329963,37.1829648891571
"49",27.7081196144894,37.2229568592422
"50",39.3055436987683,36.5006387276894
"51",35.0356928227132,32.8210725628028
"52",29.5866698635649,37.9549287193488
"53",38.9660356335002,38.6540986145571
"54",33.2800263055163,36.5888488895103
"55",31.0465996325577,39.5245890583239
"56",37.6014133867742,37.0469634231143
"57",37.422180583654,34.3733808988101
"58",40.6639579787496,34.9967708233842
"59",30.2569026908934,37.7912167346053
"60",31.1318625133169,37.4228864962759
"61",42.3246013588796,41.1073011738145
"62",33.417016955655,32.3110386352434
"63",35.1219281287382,35.388806851965
"64",31.7513902763228,39.70430608463
"65",32.5713247060107,38.4017447967401
"66",33.7090793685755,37.3673996848113
"67",34.5626776051136,37.3333744648669
"68",34.8850938558263,35.5135596906567
"69",32.3222156686026,36.1761635471829
"70",37.1762160174869,37.2861910865878
"71",32.0019117520374,35.5009785109643
"72",31.3459836366382,39.1832958723948
"73",40.3071012220037,37.0149339144221
"74",30.2221760674614,38.1089148696975
"75",33.599077855716,37.2730524593553
"76",26.0539234555031,33.3951332315704
"77",39.1296775818825,36.4229119991941
"78",25.1966564490825,36.3901966885873
"79",31.3900066313228,40.5430212631225
"80",32.5269374147213,36.4766801536077
"81",34.4311658608521,38.2140538235726
"82",33.0471919034285,38.3458662153604
"83",33.9566881533657,35.4331471590953
"84",32.4209666491581,39.248225876267
"85",32.3545200470157,36.651418997729
"86",35.8268950998702,36.8929494389883
"87",32.436500939491,37.6126943594121
"88",40.6570835207301,37.1329516114996
"89",34.4101028950757,41.7213955925639
"90",33.0406869156001,36.2803079355408
"91",40.6655045056138,35.8310784011471
"92",30.138993128292,36.7925555033832
"93",31.4964587398696,36.1057965084184
"94",31.3100343270435,38.5531231757972
"95",33.7630057416253,38.9725800659477
"96",32.8933966581901,38.2228802443304
"97",29.3611623764109,39.047419806509
"98",32.0727351368848,33.3867320526942
"99",32.9358759372174,35.043158052255
"100",34.4128660315367,38.7564290900731
"101",33.0126953687831,38.2682790505244
"102",30.4814384890148,37.6969009625035
"103",34.9185298142963,39.5430306911115
