"","Onki.Onki.95.","Onmy.Onki.95.","Onki.Onmy.95.","Onmy.Onmy.95.","Onki.Onki.99.","Onmy.Onki.99.","Onki.Onmy.99.","Onmy.Onmy.99."
"2.5%",NA,73.077,83.2525,NA,NA,86.443,93.34975,NA
"97.5%",NA,95.34025,98.51025,NA,NA,99.04,99.86,NA
