"Month","Coho (Onki)","Steelhead (Onmy)","Coho on Steelhead","Steelhead on Coho"
"Jun","10.76 (1.75)","12.73 (1.70)","93.1% (83.3-98.5)","85.6% (73.1-95.3)"
"Jul","13.03 (2.67)","10.11 (1.66)","67.6% (48.3-83.7)","80.5% (63.2-95.1)"
"Aug","5.93 (2.96)","8.40 (1.25)","65.5% (31.0-96.2)","38.3% (11.6-82.5)"
"Sep","12.45 (3.37)","17.17 (2.25)","8.8% (0.7-29.4)","6.5% (0.5-26.5)"
"Oct","9.81 (2.81)","19.55 (2.44)","28.1% (5.3-60.3)","9.3% (2.1-24.8)"
"Nov","12.40 (3.32)","15.21 (2.06)","49.5% (23.0-76.5)","35.5% (12.8-68.4)"
"Dec","8.00 (3.30)","15.82 (1.99)","54.9% (21.9-85.1)","15.6% (5.1-35.1)"
"Overall","34.27 (3.31)","37.52 (1.98)","80.9% (74.1-87.1)","64.5% (55.9-73.5)"
