"","Onki.Onki.95.","Onmy.Onki.95.","Onki.Onmy.95.","Onmy.Onmy.95.","Onki.Onki.99.","Onmy.Onki.99.","Onki.Onmy.99.","Onmy.Onmy.99."
"2.5%",NA,0.46,0.50975,NA,NA,1.6695,3.649,NA
"97.5%",NA,26.0765,28.2745,NA,NA,51.378,53.54775,NA
