"","Jun.Onki.1","Jun.Onki.2","Jun.Onmy.1","Jun.Onmy.2","Jul.Onki.1","Jul.Onki.2","Jul.Onmy.1","Jul.Onmy.2","Aug.Onki.1","Aug.Onki.2","Aug.Onki.3","Aug.Onki.4","Aug.Onki.5","Aug.Onki.6","Aug.Onmy.1","Aug.Onmy.2","Sep.Onki.1","Sep.Onki.2","Sep.Onmy.1","Sep.Onmy.2","Oct.Onki.1","Oct.Onki.2","Oct.Onmy.1","Oct.Onmy.2","Nov.Onki.1","Nov.Onki.2","Nov.Onmy.1","Nov.Onmy.2","Dec.Onki.1","Dec.Onki.2","Dec.Onmy.1","Dec.Onmy.2"
"99%",1.1543054040046,2.87082577889583,1.51050571949022,3.07350545431471,1.25428892010533,3.92450975908102,1.13353209328462,2.62274680337416,0.265327250700916,5.00994706933862,5.42776822217449,5.50993461669778,6.07667514080548,6.26619793414021,0.953490677665744,2.11773072750891,0.9674237585486,4.87367518969332,2.10622507120983,4.20057160388318,0.795062943120468,3.74112081513434,2.31585958666673,4.62699781692972,1.00001162202758,4.54568178727972,1.8215900999126,3.62911841873502,0.496717947113933,4.99376708990883,1.95698939502099,3.85426170156923
"95%",1.28632469640528,2.56306025079991,1.63647246361739,2.81756985511542,1.44549188890991,3.3635807828429,1.25507813242735,2.39743036388014,0.394491199237994,3.39907728990098,NA,NA,NA,NA,1.05160240907216,1.91301495430376,1.21981550263427,3.95109531092921,2.30332395570761,3.87352845338384,0.969656794879139,2.97251865290391,2.56040376494584,4.23422136633939,1.24638889246781,3.78929663128208,1.96298112468548,3.37531120223694,0.639891190602487,3.51500544372562,2.12874844757942,3.54118244096998
"50%",1.62746004794329,2.05285134413655,1.96231877823617,2.3574991236806,1.87654357337247,2.49042976163188,1.56124709108253,1.9516464820817,0.802380911956263,1.55185551951602,NA,NA,NA,NA,1.29516304265719,1.5702494351563,1.85961563936881,2.67017427760835,2.73545992502271,3.27788110886499,1.39555078987375,2.00602813982704,3.05395981455021,3.62815290921353,1.8338679423794,2.62128184241235,2.37833117823544,2.84462621773867,1.13036661788125,1.95756704079175,2.51215005486377,2.99224529198298
