"","Onki.Onki.95.","Onmy.Onki.95.","Onki.Onmy.95.","Onmy.Onmy.95.","Onki.Onki.99.","Onmy.Onki.99.","Onki.Onmy.99.","Onmy.Onmy.99."
"2.5%",NA,2.2685,5.699,NA,NA,4.64,29.3455,NA
"97.5%",NA,27.99425,63.08825,NA,NA,46.91625,91.84475,NA
