"","Onki.Onki.95.","Onmy.Onki.95.","Onki.Onmy.95.","Onmy.Onmy.95.","Onki.Onki.99.","Onmy.Onki.99.","Onki.Onmy.99.","Onmy.Onmy.99."
"2.5%",NA,64.41075,49.10875,NA,NA,76.37875,60.967,NA
"97.5%",NA,94.34125,84.61075,NA,NA,98.56025,93.243,NA
