"","Jun.Onki.1","Jun.Onki.2","Jun.Onmy.1","Jun.Onmy.2","Jul.Onki.1","Jul.Onki.2","Jul.Onmy.1","Jul.Onmy.2","Aug.Onki.1","Aug.Onki.2","Aug.Onmy.1","Aug.Onmy.2","Sep.Onki.1","Sep.Onki.2","Sep.Onmy.1","Sep.Onmy.2","Oct.Onki.1","Oct.Onki.2","Oct.Onmy.1","Oct.Onmy.2","Nov.Onki.1","Nov.Onki.2","Nov.Onmy.1","Nov.Onmy.2","Dec.Onki.1","Dec.Onki.2","Dec.Onmy.1","Dec.Onmy.2"
"99%",1.16096690351914,2.93839773758591,1.53897819996701,3.07753948402737,1.31499113984837,3.90359326511718,1.13372398849619,2.71096135147693,0.284833206428311,4.80055149542248,0.958747697822692,2.09942503265152,1.06479511390027,4.80057243226474,2.08558892636412,4.22863297412421,0.771836233211015,3.64884379162459,2.37090063448419,4.58945792852734,0.992514596083403,4.59474801670875,1.81139429060286,3.63721787534507,0.516701315043387,4.84165637034726,1.97640840698874,3.84382323674952
"95%",1.30662582701173,2.60256585342313,1.65762614880275,2.81670798278869,1.48591101685396,3.35095739816315,1.25718030946736,2.40789695746241,0.415681788666374,3.24274525432529,1.06426604758063,1.90898429865517,1.26276645042207,3.8930760795765,2.26639048851421,3.88954900890198,0.961382340886965,3.00519223804862,2.57478480984293,4.25219685796055,1.24572774082386,3.76271237667649,1.98904874000122,3.36210137597501,0.693798995128837,3.50038691101698,2.14410105855275,3.50539960288935
"50%",1.62200397484119,2.04894886178342,1.95659016820958,2.34084288978592,1.94019889940121,2.54670655854439,1.5426084466717,1.9243284151897,0.786677162897703,1.53032898162831,1.2838670065753,1.57343066995435,1.798468661461,2.63339602807946,2.72460992380752,3.27485771976062,1.39782434340328,2.01843819105606,3.03975099612872,3.63170998988959,1.84237343108666,2.62950916626013,2.37646954547602,2.84889881608859,1.12976419327929,1.91928189940818,2.52345836883309,2.98780095617007
