"","Overall.Onki.1","Overall.Onki.2","Overall.Onmy.1","Overall.Onmy.2"
"99%",4.52855952280847,7.25588666055006,5.51371824817716,7.13892630968234
"95%",4.77561034645155,6.853037606581,5.68804495928176,6.93470823558341
"50%",5.34336123368463,6.06799516977111,6.07195425393305,6.50453921863183
