"Month","Mean","Median","Mode"
"Jun",0.641629183274757,0.642804305171206,0.636531345201738
"Jul",0.44172819695208,0.437535431132497,0.42373150242199
"Aug",0.294998055493898,0.28446222794735,0.290909029142614
"Sep",0.0951944106463217,0.0835140317847067,0.0623705203894278
"Oct",0.125791597558413,0.119173312304533,0.0907195929632667
"Nov",0.273854653313069,0.263676923258697,0.257525229275488
"Dec",0.211304151080261,0.200901139646292,0.189366977957884
"Overall",0.4405990360864,0.441041254815171,0.444504165535773
